               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                 nan,                 nan,                 nan,          0.00021452,           0.0044119,          0.00010783,          2.0563e-05,                 nan,                 nan,                 nan,           0.0033299,           0.0033299,            0.070031
                   1,                 nan,                 nan,                 nan,          0.00033327,           0.0080698,          0.00016845,          4.5252e-05,                 nan,                 nan,                 nan,           0.0060906,           0.0060906,            0.039458
                   2,                 nan,                 nan,                 nan,           0.0001206,           0.0038425,          6.0677e-05,          1.4928e-05,                 nan,                 nan,                 nan,           0.0068882,           0.0068882,           0.0069227
                   3,                 nan,                 nan,                 nan,          0.00050895,           0.0022857,          0.00020858,          3.7455e-05,                 nan,                 nan,                 nan,           0.0041094,           0.0041094,           0.0041094
                   4,                 nan,                 nan,                 nan,            0.000244,           0.0096898,          0.00012521,          2.6338e-05,                 nan,                 nan,                 nan,           0.0041094,           0.0041094,           0.0041094
