               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                 nan,                 nan,                 nan,          0.00020053,           0.0014472,          9.9298e-05,          1.4147e-05,                 nan,                 nan,                 nan,             0.00333,             0.00333,             0.07003
                   1,                 nan,                 nan,                 nan,           0.0010181,           0.0061424,          0.00043367,          8.8956e-05,                 nan,                 nan,                 nan,           0.0060907,           0.0060907,            0.039458
                   2,                 nan,                 nan,                 nan,           0.0011151,           0.0081516,          0.00051601,          9.6363e-05,                 nan,                 nan,                 nan,           0.0068883,           0.0068883,           0.0069218
                   3,                 nan,                 nan,                 nan,          0.00099843,           0.0025963,           0.0004215,          8.8399e-05,                 nan,                 nan,                 nan,           0.0041094,           0.0041094,           0.0041094
                   4,                 nan,                 nan,                 nan,          0.00098725,            0.015282,          0.00046374,          9.7454e-05,                 nan,                 nan,                 nan,           0.0041094,           0.0041094,           0.0041094
